NAME,RA,DEC
RUScl   ,0.70031218,-24.94525463
UUCet   ,1.0212684,-16.99764075
V363Cas ,3.80972665,60.34047401
SWAnd   ,5.92955787,29.40105284
RXCet   ,8.409568,-15.48730165
WTuc    ,14.54039653,-63.39561285
RUCet   ,15.16787348,-15.95761225
RUPsc   ,18.60823738,24.41575741
XXAnd   ,19.36404296,38.95064884
VWScl   ,19.56230158,-39.2123647
AMTuc   ,19.62755064,-67.91797716
SSPsc   ,20.21817894,21.72868698
RRCet   ,23.03402769,1.34183818
VXScl   ,23.84848266,-35.1284378
SVScl   ,26.24859941,-30.05918726
CIAnd   ,28.78455829,43.76569619
XZCet   ,30.06923073,-16.34610211
SSFor   ,31.96649931,-26.86585647
RVCet   ,33.81203313,-10.80014922
RZCet   ,37.1351062,-8.35836448
DXCet   ,39.01046481,6.4325116
CSEri   ,39.27367764,-42.96336228
XAri    ,47.12852164,10.44611095
SVEri   ,47.96707995,-11.35378465
SXFor   ,52.59301867,-36.0537344
EZCep   ,59.52281284,81.23966456
ARPer   ,64.32167413,47.40019902
RXEri   ,72.43458766,-15.74115442
UPic    ,72.52764177,-50.65701559
BBEri   ,73.40624004,-19.43362903
ULep    ,74.07483245,-21.21708381
SUCol   ,76.94600827,-33.86510171
BHAur   ,78.01778433,33.96304819
RYCol   ,78.78231157,-41.62829591
RYLep   ,87.04274493,-20.02366448
RXCol   ,93.31140598,-37.25018019
STPic   ,93.50494156,-61.47328297
V338Pup ,98.73086639,-45.30827148
TZAur   ,107.89594721,40.77700288
AACMi   ,109.32987447,1.72778835
HHPup   ,110.14813752,-46.70836079
RRGem   ,110.38971289,30.88317987
EWCam   ,111.86677255,72.7035406
TVLyn   ,113.38222976,47.80271624
V764Mon ,114.43002741,-7.72722556
HKPup   ,116.19496398,-13.09897462
TWLyn   ,116.27624889,43.11154306
BBCMi   ,117.85229454,4.91090955
SZGem   ,118.43107629,19.27338198
UYCam   ,119.74535839,72.78765457
XXPup   ,122.11768873,-16.53322189
DDHya   ,123.13255184,2.83474158
TTCnc   ,128.2300247,13.19131255
TTLyn   ,135.78272968,44.58569234
SZHya   ,138.45336557,-9.31899197
RWCnc   ,139.77514549,29.06556501
CDVel   ,146.15947782,-45.87704737
TSex    ,148.36837862,2.05737585
RRLeo   ,151.93112635,23.99177951
WZHya   ,153.35054689,-13.13811898
WYAnt   ,154.02050971,-29.72832742
GWUMa   ,161.04699885,44.67893489
AFVel   ,163.26020348,-49.90628275
WCrt    ,171.62356267,-17.91433373
TUUMa   ,172.45224043,30.06745887
AXLeo   ,173.26567893,12.1539237
SSLeo   ,173.47711818,-0.03328294
SUDra   ,174.48615504,67.32992805
BXLeo   ,174.50866314,16.54342115
STLeo   ,174.63618398,10.56168214
XCrt    ,177.23425638,-10.4411628
V753Cen ,177.8137145,-55.80429049
HVUMa   ,178.90843844,47.25749051
IKHya   ,181.19714422,-27.67856773
UUVir   ,182.14624064,-0.456747
ABUMa   ,182.81084821,47.82887214
SWDra   ,184.44447021,69.51063822
HYCom   ,184.56674418,16.15448231
UZCVn   ,187.61545841,40.50896167
SVHya   ,187.62719541,-26.04756759
SCom    ,188.19015343,27.02932223
UCom    ,190.01344335,27.49895907
V467Cen ,192.10041538,-33.65805065
ATVir   ,193.79406858,-5.45892139
STCom   ,199.4639972,20.78084923
AVVir   ,200.04817404,9.18796516
AMVir   ,200.8888551,-16.66597348
AUVir   ,201.20004193,-6.97924253
SXUMa   ,201.55637649,56.25695644
RVUMa   ,203.32546176,53.98749197
RZCVn   ,206.26272177,32.65464176
RVOct   ,206.63312646,-84.40181044
SSCVn   ,207.06640153,39.90094195
BBVir   ,207.92005882,6.4309519
V499Cen ,208.81149657,-43.24016148
STCVn   ,209.39196019,29.85800393
UYBoo   ,209.69306446,12.9519073
WCVn    ,211.61664193,37.82822587
TVBoo   ,214.15243634,42.36000216
NNVir   ,214.9073865,5.89634069
STVir   ,216.91281897,-0.9015668
AFVir   ,217.04105846,6.54553626
RSBoo   ,218.38837441,31.75461631
TWBoo   ,221.27477469,41.02905761
AEBoo   ,221.89699799,16.84552468
TYAps   ,222.2086523,-71.3283208
BTDra   ,222.93600625,60.06925908
XZAps   ,223.02285088,-79.67963471
APSer   ,228.50393836,9.98117137
TVCrB   ,230.58935075,26.87713141
FWLup   ,230.60576902,-40.9266928
STBoo   ,232.66350834,35.78455846
VYSer   ,232.75828311,1.68384613
ARSer   ,233.37849443,2.77716024
CGLib   ,233.82018131,-24.33675737
VYLib   ,237.82080093,-15.75080078
ANSer   ,238.37938742,12.96116455
ATSer   ,238.91822366,7.9887972
ARHer   ,240.13451878,46.92377838
LSHer   ,240.51580676,17.48065669
RVCrB   ,244.85778118,29.71329729
V893Her ,245.01700434,45.21663
VZDra   ,245.27396495,58.45077265
V445Oph ,246.17173778,-6.54166366
VXHer   ,247.67014163,18.36677644
VYNor   ,247.88812194,-53.9731552
UVOct   ,248.10771295,-83.90262449
RWDra   ,248.8817106,57.83979123
RWTrA   ,255.19457854,-66.66384746
VZHer   ,258.26673407,35.9786628
V494Sco ,265.20199192,-31.54214297
TWHer   ,268.62999047,30.41047316
WYPav   ,269.05161842,-57.161984
V690Sco ,269.4110672,-40.55754144
SAra    ,269.79481093,-49.43343854
MSAra   ,270.76789627,-52.72229897
INAra   ,271.91756454,-54.60798806
V675Sgr ,273.39745259,-34.31712504
BCDra   ,273.57963133,76.68558627
V455Oph ,273.82726245,12.35242558
IOLyr   ,275.65837071,32.95897494
HIDra   ,278.35147064,58.70645688
CNLyr   ,280.31644428,28.72256334
EZLyr   ,281.91802078,35.99278192
V413CrA ,281.99019142,-37.73952899
MTTel   ,285.55165506,-46.65307916
XZDra   ,287.42747333,64.85891859
BKDra   ,289.58621714,66.41325338
RRLyr   ,291.36666695,42.78483521
V337Tel ,291.61539139,-45.75746262
BNVul   ,291.98370482,24.34744018
V440Sgr ,293.08660561,-23.85340857
XZCyg   ,293.12173976,56.38825316
BNPav   ,294.51409255,-60.61098802
V4424Sgr,298.50790825,-30.25288859
BPPav   ,299.5007441,-65.73602296
V2109Cyg,302.21006222,48.91090951
V2121Cyg,306.7591909,49.38322449
V341Aql ,308.13142351,0.58535736
CHAql   ,308.42573501,-5.64701379
DXDel   ,311.86811571,12.46406164
UYCyg   ,314.11794375,30.42789134
RVCap   ,315.37023808,-15.22920938
V1719Cyg,316.13718124,50.78425651
VInd    ,317.87484278,-45.0743477
SWAqr   ,318.82447916,0.07648972
ZMic    ,319.09456287,-30.28416771
YZCap   ,319.88509217,-15.11693759
SXAqr   ,324.03529825,3.23067245
RYOct   ,324.03907017,-77.30369094
CGPeg   ,325.31996095,24.77347308
AVPeg   ,328.01160687,22.57484671
SSOct   ,328.39733237,-82.77874132
BVAqr   ,330.72499174,-21.52554771
DHPeg   ,333.85677555,6.82262369
CZLac   ,334.87805608,51.47078754
RZCep   ,339.80437333,64.85803957
